,CPU_A,RAM_A,CPU_B,RAM_B,CPU_C,RAM_C
4250,0.38,0.4,0.95,0.4,0.74,0.5
4251,0.71,0.4,0.85,0.3,0.47,0.4
4252,0.24,0.6,0.77,0.7,0.49,0.6
4253,0.26,0.7,0.38,0.7,0.12,0.7
4254,0.95,0.5,0.76,0.5,0.5,0.3
4255,0.36,0.3,0.16,0.7,0.3,0.3
4256,0.67,0.7,0.9,0.5,0.27,0.4
4257,0.16,0.5,0.49,0.7,0.21,0.3
4258,0.61,0.7,0.56,0.3,0.45,0.5
4259,0.2,0.3,0.22,0.6,0.31,0.5
4260,0.13,0.6,0.84,0.6,0.31,0.4
4261,0.77,0.7,0.1,0.4,0.78,0.5
4262,0.31,0.4,0.82,0.4,0.26,0.6
4263,0.54,0.8,0.57,0.5,0.86,0.5
4264,0.74,0.5,0.56,0.6,0.93,0.6
4265,0.42,0.6,0.9,0.5,0.38,0.4
4266,0.38,0.7,0.84,0.7,0.69,0.8
4267,0.93,0.3,0.51,0.5,0.81,0.7
4268,0.41,0.4,0.66,0.8,0.34,0.8
4269,0.5,0.7,0.29,0.8,0.28,0.6
4270,0.46,0.3,0.13,0.6,0.14,0.8
4271,0.65,0.5,0.92,0.3,0.58,0.7
4272,0.54,0.6,0.68,0.7,0.31,0.3
4273,0.65,0.8,0.29,0.3,0.79,0.5
4274,0.79,0.7,0.81,0.7,0.76,0.5
4275,0.19,0.8,0.29,0.5,0.32,0.3
4276,0.76,0.3,0.79,0.5,0.1,0.6
4277,0.33,0.3,0.5,0.5,0.41,0.6
4278,0.93,0.7,0.54,0.6,0.88,0.7
4279,0.46,0.6,0.65,0.4,0.29,0.6
4280,0.62,0.7,0.35,0.3,0.66,0.7
4281,0.44,0.3,0.91,0.5,0.85,0.3
4282,0.38,0.7,0.32,0.7,0.6,0.5
4283,0.24,0.4,0.42,0.5,0.25,0.5
4284,0.44,0.4,0.55,0.5,0.67,0.6
4285,0.26,0.4,0.46,0.3,0.86,0.4
4286,0.93,0.8,0.37,0.3,0.69,0.4
4287,0.84,0.3,0.66,0.7,0.89,0.7
4288,0.81,0.7,0.57,0.4,0.86,0.7
4289,0.84,0.8,0.78,0.6,0.89,0.7
4290,0.95,0.6,0.38,0.6,0.73,0.4
4291,0.64,0.5,0.58,0.5,0.95,0.4
4292,0.23,0.6,0.46,0.5,0.41,0.4
4293,0.19,0.7,0.85,0.4,0.49,0.7
4294,0.51,0.4,0.7,0.4,0.66,0.6
4295,0.14,0.6,0.4,0.5,0.92,0.3
4296,0.73,0.3,0.95,0.6,0.65,0.7
4297,0.22,0.5,0.93,0.8,0.64,0.5
4298,0.4,0.7,0.76,0.6,0.62,0.7
4299,0.84,0.6,0.75,0.6,0.23,0.5
4300,0.43,0.4,0.55,0.7,0.7,0.5
4301,0.78,0.8,0.68,0.7,0.82,0.4
4302,0.27,0.6,0.64,0.6,0.44,0.3
4303,0.12,0.7,0.44,0.4,0.82,0.5
4304,0.57,0.8,0.12,0.6,0.6,0.4
4305,0.46,0.6,0.19,0.7,0.95,0.4
4306,0.85,0.7,0.92,0.8,0.8,0.6
4307,0.62,0.3,0.71,0.5,0.21,0.5
4308,0.1,0.7,0.51,0.6,0.26,0.7
4309,0.55,0.4,0.51,0.3,0.81,0.7
4310,0.19,0.7,0.5,0.4,0.23,0.5
4311,0.66,0.4,0.65,0.5,0.32,0.5
4312,0.89,0.6,0.68,0.3,0.12,0.4
4313,0.49,0.6,0.74,0.6,0.46,0.6
4314,0.38,0.5,0.38,0.7,0.75,0.3
4315,0.47,0.5,0.76,0.6,0.79,0.4
4316,0.58,0.4,0.86,0.5,0.94,0.7
4317,0.87,0.8,0.73,0.4,0.21,0.5
4318,0.14,0.5,0.53,0.8,0.17,0.5
4319,0.16,0.5,0.49,0.8,0.34,0.5
4320,0.91,0.6,0.58,0.8,0.89,0.4
4321,0.48,0.4,0.21,0.7,0.33,0.4
4322,0.95,0.6,0.64,0.4,0.4,0.6
4323,0.38,0.6,0.57,0.7,0.87,0.6
4324,0.15,0.6,0.34,0.5,0.53,0.6
4325,0.33,0.6,0.67,0.5,0.39,0.4
4326,0.16,0.7,0.83,0.3,0.94,0.7
4327,0.87,0.4,0.57,0.7,0.3,0.5
4328,0.65,0.4,0.4,0.5,0.72,0.7
4329,0.34,0.4,0.95,0.4,0.36,0.8
4330,0.7,0.5,0.51,0.3,0.45,0.7
4331,0.83,0.5,0.33,0.7,0.11,0.6
4332,0.67,0.5,0.92,0.7,0.93,0.8
4333,0.65,0.6,0.46,0.7,0.41,0.6
4334,0.66,0.8,0.96,0.7,0.17,0.5
4335,0.84,0.7,0.89,0.5,0.58,0.4
4336,0.86,0.4,0.95,0.7,0.39,0.6
4337,0.71,0.4,0.41,0.7,0.32,0.7
4338,0.43,0.5,0.33,0.7,0.52,0.5
4339,0.16,0.6,0.71,0.6,0.49,0.4
4340,0.64,0.4,0.74,0.5,0.6,0.3
4341,0.58,0.6,0.78,0.3,0.45,0.6
4342,0.76,0.3,0.59,0.8,0.55,0.4
4343,0.76,0.7,0.11,0.6,0.46,0.8
4344,0.64,0.7,0.31,0.5,0.32,0.4
4345,0.51,0.6,0.65,0.7,0.58,0.4
4346,0.83,0.4,0.39,0.5,0.89,0.6
4347,0.76,0.7,0.61,0.5,0.5,0.6
4348,0.25,0.4,0.55,0.3,0.77,0.5
4349,0.67,0.6,0.78,0.7,0.72,0.6
4350,0.61,0.4,0.17,0.5,0.21,0.7
4351,0.11,0.6,0.85,0.4,0.26,0.5
4352,0.34,0.4,0.91,0.4,0.91,0.5
4353,0.76,0.6,0.11,0.6,0.68,0.3
4354,0.14,0.4,0.29,0.7,0.18,0.6
4355,0.67,0.5,0.83,0.6,0.71,0.5
4356,0.79,0.3,0.92,0.4,0.58,0.3
4357,0.55,0.5,0.94,0.6,0.16,0.7
4358,0.15,0.6,0.39,0.7,0.43,0.5
4359,0.83,0.5,0.12,0.7,0.89,0.7
4360,0.54,0.7,0.53,0.5,0.62,0.6
4361,0.87,0.5,0.11,0.7,0.72,0.7
4362,0.4,0.4,0.8,0.3,0.75,0.7
4363,0.45,0.6,0.8,0.6,0.59,0.5
4364,0.62,0.5,0.44,0.3,0.66,0.6
4365,0.54,0.5,0.57,0.5,0.77,0.8
4366,0.21,0.3,0.94,0.6,0.21,0.4
4367,0.34,0.7,0.3,0.6,0.11,0.7
4368,0.12,0.6,0.88,0.8,0.31,0.6
4369,0.87,0.6,0.11,0.8,0.54,0.6
4370,0.91,0.6,0.45,0.8,0.24,0.5
4371,0.14,0.5,0.54,0.7,0.78,0.6
4372,0.76,0.7,0.81,0.5,0.24,0.5
4373,0.18,0.6,0.68,0.4,0.28,0.8
4374,0.67,0.6,0.56,0.7,0.88,0.8
4375,0.8,0.3,0.53,0.7,0.96,0.6
4376,0.18,0.6,0.7,0.8,0.54,0.4
4377,0.89,0.5,0.14,0.7,0.36,0.5
4378,0.52,0.6,0.69,0.7,0.76,0.4
4379,0.32,0.6,0.84,0.7,0.39,0.4
4380,0.21,0.5,0.71,0.7,0.24,0.3
4381,0.48,0.7,0.13,0.6,0.82,0.4
4382,0.37,0.7,0.7,0.7,0.43,0.5
4383,0.3,0.3,0.29,0.7,0.14,0.7
4384,0.56,0.5,0.54,0.5,0.44,0.5
4385,0.52,0.6,0.42,0.4,0.57,0.5
4386,0.83,0.5,0.62,0.5,0.45,0.6
4387,0.68,0.4,0.78,0.8,0.18,0.7
4388,0.91,0.4,0.15,0.6,0.64,0.8
4389,0.87,0.5,0.7,0.4,0.9,0.6
4390,0.62,0.5,0.72,0.5,0.28,0.6
4391,0.54,0.4,0.13,0.4,0.75,0.6
4392,0.38,0.7,0.9,0.5,0.35,0.6
4393,0.51,0.4,0.57,0.3,0.66,0.7
4394,0.68,0.4,0.51,0.3,0.27,0.5
4395,0.93,0.6,0.81,0.7,0.32,0.7
4396,0.41,0.3,0.95,0.6,0.59,0.8
4397,0.44,0.8,0.33,0.3,0.66,0.8
4398,0.96,0.5,0.65,0.6,0.79,0.5
4399,0.15,0.7,0.94,0.4,0.65,0.6
4400,0.31,0.8,0.48,0.6,0.71,0.7
4401,0.33,0.6,0.61,0.3,0.54,0.4
4402,0.13,0.5,0.28,0.5,0.68,0.7
4403,0.94,0.8,0.51,0.5,0.94,0.7
4404,0.33,0.8,0.17,0.4,0.54,0.6
4405,0.85,0.5,0.59,0.4,0.52,0.3
4406,0.31,0.6,0.7,0.5,0.53,0.7
4407,0.65,0.7,0.72,0.6,0.96,0.3
4408,0.67,0.6,0.72,0.4,0.39,0.8
4409,0.42,0.5,0.77,0.4,0.23,0.6
4410,0.26,0.5,0.31,0.6,0.74,0.4
4411,0.67,0.4,0.88,0.8,0.22,0.3
4412,0.87,0.3,0.39,0.6,0.9,0.6
4413,0.34,0.7,0.46,0.8,0.58,0.6
4414,0.2,0.3,0.61,0.3,0.36,0.7
4415,0.78,0.5,0.9,0.5,0.66,0.4
4416,0.29,0.5,0.52,0.6,0.56,0.5
4417,0.4,0.4,0.76,0.6,0.72,0.7
4418,0.48,0.4,0.38,0.7,0.36,0.6
4419,0.76,0.6,0.53,0.7,0.52,0.5
4420,0.49,0.3,0.72,0.7,0.63,0.8
4421,0.23,0.4,0.38,0.4,0.12,0.7
4422,0.33,0.4,0.67,0.5,0.83,0.4
4423,0.26,0.8,0.68,0.4,0.81,0.7
4424,0.21,0.3,0.67,0.3,0.58,0.8
4425,0.47,0.3,0.89,0.5,0.93,0.7
4426,0.68,0.4,0.12,0.5,0.58,0.7
4427,0.87,0.3,0.28,0.5,0.73,0.5
4428,0.29,0.3,0.87,0.4,0.7,0.6
4429,0.9,0.7,0.15,0.6,0.55,0.7
4430,0.89,0.4,0.26,0.8,0.1,0.7
4431,0.22,0.6,0.35,0.7,0.56,0.4
4432,0.28,0.6,0.69,0.4,0.76,0.5
4433,0.25,0.6,0.38,0.7,0.97,0.7
4434,0.2,0.6,0.13,0.7,0.4,0.6
4435,0.69,0.4,0.11,0.7,0.39,0.4
4436,0.85,0.3,0.66,0.4,0.76,0.5
4437,0.49,0.5,0.72,0.7,0.38,0.4
4438,0.93,0.4,0.31,0.5,0.32,0.4
4439,0.18,0.6,0.36,0.8,0.37,0.8
4440,0.8,0.6,0.95,0.6,0.43,0.4
4441,0.12,0.7,0.49,0.7,0.48,0.6
4442,0.67,0.6,0.88,0.6,0.94,0.5
4443,0.86,0.6,0.95,0.3,0.97,0.5
4444,0.92,0.6,0.53,0.5,0.31,0.7
4445,0.93,0.8,0.2,0.5,0.24,0.6
4446,0.57,0.5,0.55,0.6,0.11,0.8
4447,0.48,0.4,0.82,0.5,0.87,0.5
4448,0.85,0.7,0.59,0.4,0.17,0.5
4449,0.76,0.7,0.39,0.7,0.57,0.5
4450,0.48,0.6,0.17,0.7,0.67,0.5
4451,0.84,0.8,0.34,0.6,0.51,0.4
4452,0.28,0.7,0.46,0.6,0.24,0.6
4453,0.76,0.4,0.7,0.6,0.6,0.6
4454,0.65,0.5,0.42,0.5,0.47,0.8
4455,0.92,0.7,0.92,0.4,0.23,0.4
4456,0.37,0.7,0.54,0.3,0.42,0.6
4457,0.24,0.4,0.76,0.8,0.22,0.7
4458,0.29,0.4,0.69,0.5,0.65,0.8
4459,0.21,0.3,0.13,0.5,0.82,0.4
4460,0.88,0.5,0.7,0.7,0.81,0.7
4461,0.72,0.4,0.92,0.5,0.68,0.7
4462,0.14,0.3,0.94,0.4,0.91,0.6
4463,0.67,0.3,0.14,0.5,0.44,0.6
4464,0.95,0.6,0.39,0.3,0.96,0.5
4465,0.93,0.6,0.92,0.8,0.82,0.7
4466,0.3,0.3,0.88,0.7,0.62,0.4
4467,0.31,0.4,0.45,0.8,0.67,0.7
4468,0.72,0.5,0.95,0.7,0.6,0.4
4469,0.46,0.3,0.2,0.6,0.43,0.8
4470,0.15,0.6,0.14,0.6,0.41,0.4
4471,0.18,0.4,0.9,0.3,0.86,0.4
4472,0.64,0.4,0.96,0.4,0.23,0.6
4473,0.7,0.8,0.46,0.4,0.31,0.7
4474,0.43,0.6,0.24,0.7,0.76,0.6
4475,0.74,0.3,0.36,0.6,0.27,0.8
4476,0.81,0.7,0.75,0.5,0.28,0.6
4477,0.28,0.5,0.42,0.6,0.78,0.8
4478,0.21,0.6,0.96,0.4,0.52,0.6
4479,0.76,0.3,0.11,0.4,0.37,0.4
4480,0.53,0.3,0.95,0.7,0.66,0.6
4481,0.72,0.6,0.45,0.6,0.9,0.4
4482,0.72,0.4,0.48,0.7,0.71,0.3
4483,0.21,0.3,0.75,0.4,0.72,0.7
4484,0.32,0.4,0.96,0.7,0.71,0.4
4485,0.77,0.4,0.73,0.8,0.14,0.3
4486,0.67,0.8,0.1,0.6,0.7,0.4
4487,0.15,0.7,0.71,0.4,0.18,0.8
4488,0.46,0.6,0.36,0.8,0.69,0.5
4489,0.18,0.4,0.49,0.3,0.65,0.7
4490,0.31,0.7,0.56,0.4,0.63,0.8
4491,0.91,0.7,0.9,0.7,0.93,0.5
4492,0.5,0.8,0.43,0.5,0.67,0.3
4493,0.45,0.8,0.27,0.7,0.17,0.5
4494,0.18,0.4,0.5,0.6,0.34,0.6
4495,0.41,0.4,0.74,0.5,0.18,0.4
4496,0.35,0.6,0.6,0.7,0.28,0.7
4497,0.87,0.3,0.21,0.5,0.72,0.7
4498,0.79,0.6,0.52,0.3,0.74,0.5
4499,0.36,0.7,0.53,0.5,0.38,0.5
4500,0.59,0.6,0.92,0.4,0.86,0.6
4501,0.77,0.4,0.56,0.4,0.72,0.7
4502,0.33,0.7,0.67,0.5,0.44,0.6
4503,0.55,0.7,0.79,0.4,0.3,0.3
4504,0.6,0.3,0.44,0.7,0.75,0.7
4505,0.85,0.4,0.18,0.7,0.3,0.5
4506,0.73,0.3,0.48,0.7,0.23,0.4
4507,0.44,0.3,0.59,0.6,0.71,0.4
4508,0.37,0.5,0.21,0.6,0.45,0.6
4509,0.23,0.8,0.87,0.8,0.83,0.6
4510,0.93,0.7,0.96,0.6,0.64,0.5
4511,0.65,0.4,0.7,0.3,0.76,0.8
4512,0.4,0.4,0.5,0.4,0.25,0.6
4513,0.93,0.5,0.83,0.3,0.59,0.7
4514,0.34,0.7,0.55,0.6,0.63,0.6
4515,0.13,0.7,0.48,0.7,0.84,0.5
4516,0.81,0.6,0.56,0.4,0.21,0.7
4517,0.73,0.6,0.68,0.4,0.59,0.7
4518,0.72,0.5,0.23,0.7,0.67,0.6
4519,0.67,0.7,0.28,0.6,0.44,0.4
4520,0.29,0.7,0.2,0.4,0.78,0.4
4521,0.29,0.6,0.25,0.6,0.85,0.4
4522,0.77,0.3,0.13,0.7,0.7,0.6
4523,0.95,0.8,0.45,0.8,0.7,0.5
4524,0.42,0.7,0.3,0.8,0.81,0.6
4525,0.41,0.7,0.92,0.4,0.62,0.4
4526,0.56,0.6,0.42,0.8,0.49,0.5
4527,0.88,0.5,0.48,0.7,0.9,0.6
4528,0.53,0.3,0.65,0.6,0.29,0.6
4529,0.93,0.8,0.88,0.8,0.69,0.8
4530,0.35,0.4,0.77,0.5,0.79,0.6
4531,0.82,0.6,0.4,0.4,0.7,0.8
4532,0.32,0.4,0.67,0.6,0.14,0.4
4533,0.13,0.7,0.42,0.7,0.11,0.7
4534,0.92,0.5,0.78,0.4,0.62,0.5
4535,0.6,0.5,0.46,0.6,0.23,0.4
4536,0.22,0.7,0.29,0.6,0.85,0.6
4537,0.26,0.6,0.7,0.5,0.31,0.7
4538,0.82,0.8,0.23,0.4,0.69,0.8
4539,0.66,0.3,0.7,0.5,0.4,0.6
4540,0.82,0.3,0.65,0.5,0.11,0.6
4541,0.1,0.5,0.5,0.6,0.11,0.3
4542,0.34,0.7,0.44,0.4,0.96,0.6
4543,0.92,0.7,0.95,0.6,0.28,0.5
4544,0.61,0.4,0.88,0.6,0.14,0.4
4545,0.76,0.6,0.95,0.3,0.64,0.6
4546,0.71,0.7,0.72,0.6,0.25,0.6
4547,0.35,0.6,0.74,0.7,0.14,0.4
4548,0.74,0.7,0.73,0.7,0.71,0.7
4549,0.2,0.7,0.9,0.3,0.22,0.4
4550,0.86,0.7,0.7,0.4,0.8,0.7
4551,0.38,0.7,0.9,0.4,0.47,0.4
4552,0.48,0.4,0.93,0.7,0.24,0.6
4553,0.35,0.4,0.61,0.8,0.12,0.7
4554,0.69,0.5,0.59,0.5,0.52,0.6
4555,0.38,0.5,0.21,0.6,0.67,0.5
4556,0.14,0.7,0.57,0.7,0.53,0.7
4557,0.32,0.8,0.93,0.4,0.96,0.7
4558,0.86,0.5,0.16,0.7,0.8,0.4
4559,0.24,0.4,0.55,0.5,0.86,0.4
4560,0.78,0.7,0.73,0.7,0.21,0.5
4561,0.35,0.5,0.62,0.6,0.1,0.7
4562,0.96,0.7,0.76,0.6,0.74,0.6
4563,0.33,0.4,0.69,0.4,0.97,0.8
4564,0.96,0.7,0.48,0.3,0.76,0.4
4565,0.45,0.5,0.24,0.8,0.24,0.7
4566,0.38,0.4,0.86,0.8,0.4,0.7
4567,0.8,0.4,0.21,0.5,0.63,0.6
4568,0.7,0.4,0.87,0.5,0.95,0.7
4569,0.23,0.5,0.78,0.5,0.4,0.6
4570,0.67,0.4,0.43,0.5,0.57,0.5
4571,0.43,0.6,0.64,0.7,0.38,0.4
4572,0.35,0.7,0.48,0.7,0.23,0.7
4573,0.84,0.5,0.87,0.7,0.58,0.7
4574,0.46,0.6,0.65,0.5,0.78,0.7
4575,0.3,0.6,0.28,0.5,0.9,0.5
4576,0.14,0.6,0.44,0.4,0.58,0.6
4577,0.96,0.4,0.2,0.4,0.93,0.4
4578,0.63,0.7,0.23,0.8,0.82,0.3
4579,0.51,0.7,0.56,0.6,0.51,0.4
4580,0.89,0.6,0.59,0.7,0.46,0.5
4581,0.19,0.7,0.94,0.7,0.25,0.7
4582,0.39,0.6,0.24,0.3,0.47,0.4
4583,0.26,0.8,0.69,0.6,0.33,0.6
4584,0.7,0.7,0.45,0.7,0.43,0.7
4585,0.13,0.4,0.53,0.6,0.27,0.4
4586,0.26,0.8,0.94,0.4,0.17,0.7
4587,0.4,0.4,0.72,0.5,0.69,0.8
4588,0.25,0.7,0.65,0.7,0.25,0.5
4589,0.62,0.4,0.88,0.7,0.78,0.3
4590,0.78,0.6,0.89,0.7,0.78,0.6
4591,0.27,0.4,0.89,0.7,0.35,0.6
4592,0.51,0.5,0.71,0.7,0.78,0.7
4593,0.36,0.3,0.56,0.6,0.95,0.4
4594,0.7,0.7,0.55,0.5,0.21,0.7
4595,0.1,0.5,0.72,0.7,0.24,0.8
4596,0.49,0.7,0.14,0.6,0.88,0.6
4597,0.22,0.6,0.16,0.7,0.88,0.7
4598,0.24,0.5,0.56,0.5,0.39,0.7
4599,0.35,0.5,0.37,0.3,0.95,0.6
4600,0.15,0.5,0.11,0.3,0.38,0.3
4601,0.42,0.4,0.83,0.3,0.8,0.6
4602,0.91,0.4,0.29,0.7,0.48,0.6
4603,0.84,0.5,0.61,0.3,0.67,0.7
4604,0.58,0.4,0.75,0.8,0.68,0.8
4605,0.53,0.6,0.22,0.4,0.5,0.4
4606,0.57,0.5,0.54,0.6,0.73,0.6
4607,0.47,0.7,0.33,0.4,0.67,0.5
4608,0.74,0.4,0.22,0.3,0.45,0.8
4609,0.27,0.4,0.53,0.4,0.65,0.5
4610,0.78,0.3,0.36,0.5,0.43,0.5
4611,0.38,0.7,0.88,0.3,0.6,0.5
4612,0.37,0.6,0.32,0.3,0.51,0.6
4613,0.61,0.5,0.15,0.4,0.73,0.4
4614,0.55,0.3,0.82,0.5,0.57,0.4
4615,0.62,0.4,0.84,0.5,0.76,0.3
4616,0.58,0.3,0.58,0.4,0.17,0.6
4617,0.34,0.8,0.71,0.5,0.14,0.7
4618,0.4,0.5,0.29,0.6,0.46,0.4
4619,0.65,0.8,0.83,0.7,0.51,0.6
4620,0.63,0.4,0.61,0.6,0.46,0.7
4621,0.23,0.7,0.19,0.4,0.83,0.3
4622,0.2,0.6,0.3,0.7,0.91,0.8
4623,0.17,0.6,0.81,0.6,0.27,0.7
4624,0.34,0.6,0.12,0.8,0.79,0.6
4625,0.84,0.7,0.91,0.6,0.34,0.6
4626,0.2,0.7,0.4,0.6,0.15,0.6
4627,0.69,0.5,0.58,0.5,0.16,0.8
4628,0.11,0.8,0.47,0.7,0.39,0.7
4629,0.76,0.6,0.17,0.7,0.6,0.8
4630,0.5,0.4,0.65,0.7,0.18,0.6
4631,0.2,0.6,0.83,0.6,0.91,0.6
4632,0.5,0.6,0.38,0.3,0.82,0.6
4633,0.52,0.7,0.65,0.5,0.73,0.7
4634,0.38,0.7,0.86,0.4,0.63,0.3
4635,0.93,0.6,0.45,0.7,0.66,0.7
4636,0.85,0.4,0.89,0.4,0.18,0.7
4637,0.66,0.6,0.45,0.6,0.47,0.4
4638,0.24,0.4,0.23,0.6,0.83,0.6
4639,0.82,0.7,0.54,0.8,0.95,0.5
4640,0.52,0.5,0.4,0.6,0.5,0.6
4641,0.18,0.4,0.55,0.7,0.37,0.4
4642,0.16,0.3,0.81,0.7,0.47,0.8
4643,0.27,0.6,0.14,0.3,0.88,0.4
4644,0.24,0.5,0.7,0.6,0.35,0.4
4645,0.77,0.3,0.56,0.4,0.85,0.5
4646,0.7,0.5,0.41,0.3,0.45,0.5
4647,0.2,0.5,0.89,0.5,0.6,0.4
4648,0.66,0.5,0.45,0.8,0.32,0.6
4649,0.37,0.6,0.4,0.4,0.61,0.7
4650,0.87,0.7,0.12,0.5,0.86,0.7
4651,0.42,0.5,0.25,0.5,0.93,0.7
4652,0.39,0.5,0.7,0.4,0.65,0.3
4653,0.56,0.6,0.32,0.6,0.59,0.7
4654,0.95,0.6,0.37,0.8,0.93,0.3
4655,0.71,0.7,0.16,0.6,0.38,0.3
4656,0.48,0.7,0.43,0.6,0.61,0.4
4657,0.4,0.4,0.11,0.8,0.76,0.3
4658,0.6,0.4,0.42,0.3,0.57,0.4
4659,0.52,0.4,0.51,0.6,0.33,0.7
4660,0.67,0.7,0.33,0.7,0.68,0.8
4661,0.91,0.4,0.58,0.5,0.15,0.7
4662,0.42,0.5,0.63,0.5,0.45,0.5
4663,0.82,0.5,0.43,0.6,0.74,0.5
4664,0.29,0.4,0.73,0.4,0.79,0.3
4665,0.86,0.5,0.69,0.8,0.78,0.6
4666,0.92,0.8,0.36,0.6,0.48,0.5
4667,0.21,0.4,0.29,0.7,0.18,0.8
4668,0.51,0.3,0.4,0.3,0.77,0.7
4669,0.5,0.7,0.68,0.8,0.35,0.4
4670,0.28,0.6,0.23,0.8,0.36,0.3
4671,0.55,0.6,0.14,0.5,0.7,0.4
4672,0.68,0.5,0.7,0.4,0.46,0.3
4673,0.45,0.6,0.21,0.5,0.63,0.5
4674,0.32,0.4,0.34,0.6,0.71,0.5
4675,0.75,0.6,0.11,0.5,0.2,0.4
4676,0.37,0.7,0.25,0.6,0.25,0.4
4677,0.26,0.8,0.72,0.7,0.83,0.5
4678,0.27,0.8,0.83,0.7,0.3,0.5
4679,0.76,0.6,0.7,0.6,0.93,0.4
4680,0.24,0.8,0.75,0.7,0.53,0.8
4681,0.6,0.7,0.89,0.5,0.77,0.4
4682,0.23,0.6,0.81,0.6,0.13,0.5
4683,0.39,0.4,0.95,0.3,0.59,0.4
4684,0.63,0.4,0.42,0.8,0.62,0.8
4685,0.89,0.5,0.68,0.5,0.43,0.5
4686,0.44,0.5,0.28,0.5,0.42,0.3
4687,0.5,0.4,0.38,0.6,0.38,0.8
4688,0.57,0.4,0.59,0.6,0.2,0.5
4689,0.12,0.3,0.7,0.4,0.76,0.4
4690,0.29,0.7,0.59,0.8,0.73,0.7
4691,0.14,0.7,0.23,0.3,0.29,0.6
4692,0.24,0.7,0.71,0.3,0.65,0.6
4693,0.96,0.8,0.17,0.8,0.7,0.5
4694,0.54,0.3,0.91,0.3,0.83,0.4
4695,0.49,0.7,0.73,0.6,0.81,0.6
4696,0.12,0.6,0.86,0.8,0.55,0.5
4697,0.46,0.4,0.73,0.7,0.59,0.5
4698,0.12,0.4,0.77,0.7,0.38,0.5
4699,0.63,0.7,0.55,0.3,0.38,0.5
4700,0.77,0.5,0.74,0.7,0.59,0.5
4701,0.84,0.7,0.35,0.8,0.22,0.3
4702,0.85,0.4,0.44,0.7,0.79,0.6
4703,0.95,0.5,0.6,0.4,0.73,0.6
4704,0.44,0.5,0.86,0.6,0.22,0.8
4705,0.86,0.5,0.17,0.5,0.54,0.5
4706,0.35,0.3,0.14,0.4,0.57,0.6
4707,0.39,0.6,0.53,0.5,0.43,0.8
4708,0.25,0.6,0.53,0.4,0.67,0.6
4709,0.66,0.5,0.61,0.7,0.12,0.6
4710,0.15,0.8,0.82,0.7,0.56,0.7
4711,0.92,0.6,0.89,0.5,0.85,0.3
4712,0.53,0.6,0.27,0.8,0.44,0.5
4713,0.84,0.6,0.55,0.3,0.55,0.6
4714,0.72,0.5,0.21,0.7,0.74,0.4
4715,0.65,0.4,0.38,0.3,0.73,0.6
4716,0.56,0.5,0.66,0.5,0.15,0.4
4717,0.67,0.6,0.51,0.5,0.7,0.7
4718,0.43,0.7,0.68,0.8,0.36,0.7
4719,0.3,0.6,0.8,0.7,0.9,0.5
4720,0.49,0.8,0.34,0.7,0.5,0.5
4721,0.52,0.3,0.14,0.7,0.39,0.6
4722,0.35,0.6,0.78,0.6,0.74,0.4
4723,0.19,0.3,0.18,0.6,0.19,0.3
4724,0.86,0.7,0.38,0.6,0.33,0.6
4725,0.87,0.7,0.53,0.6,0.6,0.3
4726,0.78,0.4,0.59,0.3,0.72,0.8
4727,0.7,0.3,0.95,0.4,0.72,0.6
4728,0.15,0.4,0.54,0.7,0.96,0.7
4729,0.33,0.6,0.32,0.3,0.6,0.3
4730,0.38,0.4,0.65,0.3,0.88,0.7
4731,0.64,0.8,0.38,0.3,0.41,0.7
4732,0.29,0.5,0.5,0.8,0.53,0.6
4733,0.22,0.4,0.55,0.7,0.75,0.6
4734,0.26,0.4,0.82,0.6,0.4,0.3
4735,0.84,0.8,0.12,0.4,0.49,0.5
4736,0.53,0.6,0.94,0.5,0.64,0.5
4737,0.63,0.6,0.6,0.6,0.84,0.7
4738,0.12,0.5,0.96,0.4,0.49,0.6
4739,0.53,0.5,0.78,0.5,0.64,0.5
4740,0.48,0.7,0.48,0.3,0.97,0.5
4741,0.17,0.4,0.3,0.3,0.16,0.7
4742,0.89,0.4,0.2,0.4,0.19,0.7
4743,0.39,0.4,0.25,0.6,0.31,0.6
4744,0.67,0.8,0.52,0.6,0.59,0.6
4745,0.95,0.3,0.1,0.4,0.35,0.8
4746,0.92,0.6,0.27,0.5,0.45,0.5
4747,0.76,0.6,0.15,0.3,0.93,0.8
4748,0.38,0.5,0.19,0.7,0.6,0.3
4749,0.19,0.6,0.79,0.7,0.22,0.4
4750,0.97,0.5,0.29,0.8,0.74,0.4
4751,0.84,0.6,0.13,0.6,0.6,0.6
4752,0.94,0.6,0.22,0.5,0.87,0.4
4753,0.86,0.3,0.23,0.3,0.66,0.6
4754,0.19,0.8,0.74,0.5,0.31,0.7
4755,0.24,0.6,0.59,0.7,0.13,0.7
4756,0.94,0.4,0.56,0.7,0.88,0.6
4757,0.83,0.4,0.7,0.8,0.54,0.5
4758,0.71,0.7,0.7,0.8,0.58,0.4
4759,0.19,0.8,0.9,0.7,0.46,0.7
4760,0.23,0.6,0.4,0.3,0.14,0.8
4761,0.93,0.8,0.31,0.6,0.2,0.7
4762,0.33,0.6,0.4,0.5,0.19,0.4
4763,0.71,0.5,0.47,0.4,0.59,0.6
4764,0.58,0.6,0.17,0.6,0.15,0.8
4765,0.32,0.3,0.63,0.6,0.55,0.5
4766,0.51,0.5,0.61,0.3,0.13,0.6
